ID,Tên món ăn menu,Tên món ăn đề xuất,Nguyên vật liệu chính 1,Nguyên vật liệu phụ 1,Nguyên vật liệu phụ 2,Nguyên vật liệu phụ 3,Nguyên vật liệu phụ 4,Nguyên vật liệu phụ 5,Nguyên vật liệu phụ 6,Nguyên vật liệu phụ 7,Nguyên vật liệu phụ 8,Ghi chú,Is Test,Parent items,Ghi chú (1),Is Test (1),Parent items (1),Parent items (1) (1),Parent items (1) (1) (1),Parent items (1) (1) (1) (1),Trường 7,Trường 8,Trường 9,Trường 10,Trường 11,Trường 12,Trường 13,Trường 14,Trường 15,Trường 16,Trường 17,Trường 18
12710,Gỏi gà bắp cải,Gỏi gà bắp cải,File không da tươi,Bắp cải trắng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12711,Đùi gà rang muối,Đùi gà rang muối,Đùi tỏi tươi size 6->6.5 cái,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12712,Cơm chiên cánh gà,Cơm chiên cánh gà,Cánh gà tươi size 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12713,Gỏi bò chua cay,Gỏi bò chua cay,Bò tái,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12714,Chả thịt,Chả thịt,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12715,Mì ý sốt bò bằm,Mì ý sốt bò bằm,Mì 6 vắt,Bò xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12716,Mì ý sốt bò bằm,Mì ý bò bằm cà chua,Mì 6 vắt,Bò xay,Cà chua,Hành tây,Trứng gà 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,
12717,Khổ qua xào trứng,Khổ qua xào trứng,Khổ qua,Trứng gà 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12718,Khổ qua xào trứng,Khổ qua xào trứng đậu hũ,Khổ qua,Đậu hũ trắng,Trứng gà 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,,,
12719,Khổ qua xào trứng,Khổ qua xào đậu phộng,Khổ qua,Đậu phộng sống,Đậu hũ trắng,,,,,,,,,,,,,,,,,,,,,,,,,,,
12720,Má gà xối mỡ,Má gà xối mỡ,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12721,Gà kho lá chanh,Gà kho lá chanh,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12722,Miến gà,Miến gà măng,Miến vàng,Măng tươi,File không da tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,
12723,Miến gà,Miến gà đùi,Miến vàng,Đùi tỏi tươi size 6->6.5 cái,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12724,Má gà nướng,Má gà nướng,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12725,Chả cá thì là,Chả cá thì là,Cá sống,Mọc,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,
12727,Giá hẹ chua ngọt,Giá hẹ chua ngọt,Cà rốt,Giá,Hẹ,,,,,,,,,,,,,,,,,,,,,,,,,,,
12728,Gà kho sả ớt,Gà kho sả ớt,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12729,Gà quay,Gà quay,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12730,Đậu đũa xào,Đậu đũa xào,Đậu đũa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12731,Gỏi bắp cải,Gỏi bắp cải,Bắp cải trắng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12732,Gỏi bò,Gỏi thịt heo trộn chua ngọt,Thịt đùi heo tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12733,Gỏi bò,Gỏi bò tái chua cay,Bò tái,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12734,Gỏi củ hũ dừa,Gỏi củ hũ dừa,Củ hủ dừa,Thịt heo nạc vai,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12735,Gà hấp lá chanh,Gà hấp lá chanh,Đùi góc tư tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12736,Hủ tiếu mì thịt,Hủ tiếu mì thịt bằm,Hủ tiếu tươi,Mì vàng,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,
12737,Hủ tiếu mì thịt,Hủ tiếu mì củ cải thanh ngọt,Hủ tiếu tươi,Mì vàng,Củ cải trắng,,,,,,,,,,,,,,,,,,,,,,,,,,,
12738,Mì đùi gà tiềm,Mì đùi gà tiềm,Mì vàng,Đùi tỏi tươi size 6->6.5 cái,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12739,Mì đùi gà tiềm,Mì đùi gà tiềm nấm 6 vắt,Mì 6 vắt,Đùi tỏi tươi size 6->6.5 cái,Nấm đông cô,,,,,,,,,,,,,,,,,,,,,,,,,,,
12740,Cơm chiên dương châu,Cơm chiên dương châu,Chả lụa,Đậu ve,Cà rốt,Lạp xưởng tươi,,,,,,,,,,,,,,,,,,,,,,,,,,
12741,Chả lụa rim,Chả lụa rim,Chả lụa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12742,Gà kho gừng,Gà kho gừng,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12743,Chạo tôm,Chạo tôm,Tôm lột,Mọc,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,
12744,Hủ tiếu mì nam vang,Hủ tiếu mì nam vang,Hủ tiếu tươi,Mì vàng,Trứng cút,,,,,,,,,,,,,,,,,,,,,,,,,,,
12745,Hủ tiếu xương hoành thánh,Hủ tiếu xương hoành thánh,Hủ tiếu tươi,Xương heo,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,
12746,Heo quay kho trứng,Heo quay kho trứng,Heo quay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12747,Má gà quay,Má gà quay,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12748,Đậu bắp luộc chao,Đậu bắp luộc chao,Đậu bắp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12749,Ếch xào sả ớt,Ếch xào sả ớt,Ếch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12750,Mì xào thập cẩm,Mì xào thập cẩm,Mì ký xanh 1kg/túi (10 túi/ thùng),Đậu hũ chiên,Nấm đùi gà,,,,,,,,,,,,,,,,,,,,,,,,,,,
12751,Gỏi bò rau càng cua,Gỏi bò rau càng cua,Rau càng cua,Bò tái,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12752,Chả cá rim tỏi ớt,Chả cá rim tỏi ớt cay,Chả cá chiên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12753,Chả cá rim tỏi ớt,Chả cá Nha Trang rim tỏi ớt,Chả cá nha trang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12754,Chả chiên rim ớt chuông,Chả chiên xào ớt chuông xanh,Chả chiên,Hành tây,Ớt chuông xanh,,,,,,,,,,,,,,,,,,,,,,,,,,,
12755,Chả chiên rim ớt chuông,Chả lụa xào ớt chuông đỏ,Chả lụa,Hành tây,Ớt chuông đỏ,,,,,,,,,,,,,,,,,,,,,,,,,,,
12756,Mì gà tiềm,Mì gà tiềm nấm đông cô,Mì vàng,Nấm đông cô,Đùi góc tư tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,
12757,Mì gà tiềm,Mì gà tiềm nấm đông cô,Mì vàng,Má gà tươi,Nấm đông cô,,,,,,,,,,,,,,,,,,,,,,,,,,,
12758,Mì gà tiềm,Mì gà tiềm đùi lớn,Mì vàng,Đùi tỏi tươi size 6->6.5 cái,Nấm đông cô,,,,,,,,,,,,,,,,,,,,,,,,,,,
12759,Mì gà tiềm,Mì gà tiềm đùi góc tư,Mì vàng,Đùi tỏi tươi size 6->6.5 cái,Nấm đông cô,Đùi góc tư tươi,,,,,,,,,,,,,,,,,,,,,,,,,,
12760,Khô cá cơm ngào xoài xanh,Khô cá cơm ngào xoài xanh,Cá cơm khô,Xoài xanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12761,Mì thập cẩm hoành thánh,Mì thập cẩm hoành thánh,Mì vàng,Lá gói hoành thánh,Thịt heo nạc vai,,,,,,,,,,,,,,,,,,,,,,,,,,,
12762,Chả cá rim trứng cút,Chả cá rim trứng cút,Chả cá chiên,Trứng cút,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12763,Cotlet ram,Sườn cotlet ram mặn,Cotlet chặt (1kg/11 miếng),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764,Cotlet ram,Sườn cotlet ram đậm vị,Cotlet chặt (1kg/13 miếng),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765,Đậu hũ dồn thịt sốt cà,Đậu hũ dồn thịt sốt cà,Đậu hũ chiên mổ bụng,Thịt xay,Cà chua,,,,,,,,,,,,,,,,,,,,,,,,,,,
12766,Dưa leo rau thơm,Dưa leo rau thơm,Dưa leo,Rau thơm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12767,Đậu hũ sốt thịt,Đậu hũ sốt thịt bằm,Đậu hũ chiên,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12768,Đậu hũ sốt thịt,Đậu hũ dồn thịt sốt,Đậu hũ chiên mổ bụng,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12769,Củ quả kho chay,Củ quả kho chay,Đậu hũ chiên,Nấm đùi gà,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,,
12770,Củ quả kho chay,Củ quả kho bầu,Đậu hũ chiên,Bắp cải trắng,Bầu,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,
12771,Mì Quảng thập cẩm,Mì Quảng tôm size 60,Mì quảng,Thịt heo nạc vai,Tôm thẻ size 60 con,,,,,,,,,,,,,,,,,,,,,,,,,,,
12772,Mì Quảng thập cẩm,Mì Quảng tôm size 50,Mì quảng,Thịt heo nạc vai,Trứng cút,Tôm thẻ size 50 con,,,,,,,,,,,,,,,,,,,,,,,,,,
12773,Giá hẹ xào,Giá hẹ xào,Giá,Cà rốt,Hẹ,,,,,,,,,,,,,,,,,,,,,,,,,,,
12774,Chả cá rim ớt chuông,Chả cá rim ớt chuông tôm,Chả cá chiên,Tôm thẻ size 100 con,Hành tây,Ớt chuông đỏ,,,,,,,,,,,,,,,,,,,,,,,,,,
12775,Chả cá rim ớt chuông,Chả cá rim ớt chuông,Chả cá chiên,Hành tây,Ớt chuông đỏ,,,,,,,,,,,,,,,,,,,,,,,,,,,
12776,Chả cá thác lác,Chả cá thác lác,Cá thác lác,Mọc,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,
12777,Gà rang muối,Gà rang muối,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12778,Gỏi gà hành tây,Gỏi gà trộn trứng,File không da tươi,Trứng gà 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12779,Gỏi gà hành tây,Gỏi gà hành tây,File không da tươi,Hành tây,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12780,Gỏi gà hành tây,Gỏi hành tây gà xé,Má gà tươi,Hành tây,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12781,Chè bắp,Chè bắp nước cốt dừa,Bắp bào,Gạo nếp,Lá dứa,Dừa ép,,,,,,,,,,,,,,,,,,,,,,,,,,
12782,Chè bắp,Chè bắp lá dứa,Bắp bào,Gạo nếp,Lá dứa,Dừa ép,,,,,,,,,,,,,,,,,,,,,,,,,,
12783,Đậu hũ non tứ xuyên sốt thịt,Đậu hũ non tứ xuyên sốt thịt,Đậu hũ non hộp,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12784,Gỏi tai heo bánh phồng tôm,Gỏi tai heo bánh phồng tôm,Thịt heo nạc vai,Tai mũi,Bánh phồng tôm,,,,,,,,,,,,,,,,,,,,,,,,,,,
12785,Gà xối mỡ,Gà xối mỡ,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12786,Chả cá rim mắm,Chả cá rim mắm,Chả cá chiên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12787,Chả lụa rim tỏi ớt,Chả lụa rim tỏi ớt,Chả lụa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12788,Chả lụa rim tỏi ớt,Chả lụa rim tỏi ớt,Chả lụa chay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12789,Chuối sứ,Chuối sứ,Chuối sứ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12790,Đậu hũ non tứ xuyên,Đậu hũ non Tứ Xuyên,Đậu hũ non hộp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12791,Đậu hũ non tứ xuyên,Đậu hũ non Tứ Xuyên măng,Đậu hũ non hộp,Măng tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12792,Đậu hũ non tứ xuyên,Đậu hũ non Tứ Xuyên thịt bằm,Đậu hũ non hộp,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12793,Chả cá nha trang sốt cà chua,Chả cá nha trang sốt cà chua,Chả cá nha trang,Cà chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12794,Cotlet nướng,Sườn cotlet nướng,Cotlet chặt (1kg/11 miếng),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12795,Cotlet nướng,Sườn cotlet nướng đậm vị,Cotlet chặt (1kg/13 miếng),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12796,Đùi gà chiên xù,Đùi gà chiên xù,Đùi tỏi tươi size 6->6.5 cái,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12797,Củ quả kho thập cẩm,Củ quả kho thập cẩm,Đậu hũ chiên,Đậu ve,Cà rốt,Su hào,,,,,,,,,,,,,,,,,,,,,,,,,,
12798,Gà hấp hành,Gà hấp hành,Đùi tỏi tươi size 6->6.5 cái,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12799,Gà kho nấm đông cô,Gà kho nấm đông cô,Má gà tươi,Nấm đông cô,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,,
12800,Gà rô ti,Gà rô ti đậm vị,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12801,Gà rô ti,Gà rô ti phần đùi,Đùi góc tư tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12802,Hủ tiếu mực,Hủ tiếu mực,Hủ tiếu tươi,Mực khô,Mực lá tươi,Nạc xay,,,,,,,,,,,,,,,,,,,,,,,,,,
12803,Heo cuộn xào kim chi,Heo cuộn xào kim chi,Ba rọi heo cuộn,Kim chi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12804,Đậu hũ sốt nấm đông cô,Đậu hũ sốt nấm đông cô,Đậu hũ chiên,Nấm đông cô,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12805,Chè trôi nước,Chè trôi nước,Chè trôi nước,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12806,Đậu hũ sốt thịt cà chua,Đậu hũ sốt thịt,Đậu hũ chiên,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12807,Đậu hũ sốt thịt cà chua,Đậu hũ sốt thịt cà chua,Đậu hũ chiên,Thịt xay,Cà chua,,,,,,,,,,,,,,,,,,,,,,,,,,,
12808,Đậu hũ kho nấm thơm,Đậu hũ kho nấm thơm khổ qua,Đậu hũ chiên,Khổ qua,Thơm gọt,,,,,,,,,,,,,,,,,,,,,,,,,,,
12809,Đậu hũ kho nấm thơm,Đậu hũ kho nấm thơm đậu đùi gà,Đậu hũ chiên,Thơm gọt,Nấm đùi gà,Khổ qua,Đậu ve,,,,,,,,,,,,,,,,,,,,,,,,,
12810,Đậu hũ kho trứng cút,Đậu hũ kho trứng cút,Đậu hũ chiên,Trứng cút,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12811,Đậu hũ tứ xuyên,Đậu hũ Tứ Xuyên thịt bằm,Đậu hũ non hộp,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12812,Đậu hũ tứ xuyên,Đậu hũ Tứ Xuyên chay,Đậu hũ trắng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12813,Đậu hũ tứ xuyên,Đậu hũ Tứ Xuyên thịt,Đậu hũ trắng,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12814,Chôm chôm,Chôm chôm,Chôm chôm thường,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12815,Ếch om chuối,Ếch om chuối,Ếch,Chuối xanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12816,Cơm chiên dương châu opla,Cơm chiên dương châu opla,Trứng gà 300 quả/cây,Chả lụa chay,Đậu ve,Lạp xưởng khô,,,,,,,,,,,,,,,,,,,,,,,,,,
12817,Chả thịt lá lốt,Chả thịt lá lốt,Thịt xay,Mọc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12818,Ếch chiên nước mắm,Ếch chiên nước mắm,Ếch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12819,Lòng gà xào mướp,Lòng gà xào mướp,Lòng gà,Mướp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12820,Hủ tiếu mì xương,Hủ tiếu mì xương,Hủ tiếu tươi,Xương heo,Thịt heo nạc vai,,,,,,,,,,,,,,,,,,,,,,,,,,,
12821,Hủ tiếu nam vang,Hủ tiếu Nam Vang trứng cút,Hủ tiếu tươi,Thịt heo nạc vai,Trứng cút,,,,,,,,,,,,,,,,,,,,,,,,,,,
12822,Hủ tiếu nam vang,Hủ tiếu Nam Vang tôm,Hủ tiếu tươi,Thịt heo nạc vai,Tôm thẻ size 100 con,,,,,,,,,,,,,,,,,,,,,,,,,,,
12823,Hủ tiếu nam vang,Hủ tiếu Nam Vang tôm thịt,Hủ tiếu tươi,Thịt xay,Tôm thẻ size 50 con,,,,,,,,,,,,,,,,,,,,,,,,,,,
12824,Hủ tiếu nam vang,Hủ tiếu Nam Vang tôm thẻ size 60,Hủ tiếu tươi,Thịt heo nạc vai,Tôm thẻ size 60 con,,,,,,,,,,,,,,,,,,,,,,,,,,,
12825,Hủ tiếu nam vang,Hủ tiếu Nam Vang tôm thẻ size 80,Hủ tiếu tươi,Thịt đùi heo tươi,Tôm thẻ size 80 con,,,,,,,,,,,,,,,,,,,,,,,,,,,
12826,Mì hoành thánh,Mì hoành thánh,Mì vàng,Lá gói hoành thánh,Thịt heo nạc vai,,,,,,,,,,,,,,,,,,,,,,,,,,,
12827,Hủ tiếu tái bò viên,Hủ tiếu tái bò viên,Hủ tiếu tươi,Bò tái,Bò viên,,,,,,,,,,,,,,,,,,,,,,,,,,,
12828,Đùi gà chiên nước mắm,Đùi gà chiên nước mắm,Đùi tỏi tươi size 6->6.5 cái,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12829,Gà chiên bơ tỏi,Gà chiên bơ tỏi,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12830,Chuối cau,Chuối cau,Chuối cau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12831,Khô lưỡi trâu rim,Khô lưỡi trâu rim,Cá khô lưỡi trâu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12832,Gà kho tàu,Gà kho tàu,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12833,Chè đậu đỏ,Chè đậu đỏ,Đậu đỏ,Bột khoai,Bột báng,Dừa ép,,,,,,,,,,,,,,,,,,,,,,,,,,
12834,Đậu ve xào thịt,Đậu ve xào thịt,Đậu ve,Thịt heo vai tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12835,Chả lụa sốt mắm,Chả lụa sốt mắm,Chả lụa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12836,Đậu hũ dồn thịt sốt mắm,Đậu hũ dồn thịt sốt mắm,Đậu hũ chiên mổ bụng,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12837,Gỏi ngó sen bánh phồng tôm,Gỏi ngó sen bánh phồng tôm,Thịt heo nạc vai,Dưa leo,Bánh phồng tôm,Ngó sen,,,,,,,,,,,,,,,,,,,,,,,,,,
12838,Đậu hũ sốt nấm cà rốt,Đậu hũ sốt nấm cà rốt,Đậu hũ chiên,Nấm kim châm,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,,
12839,Gỏi củ hũ dừa chay,Gỏi củ hũ dừa chay,Chả lụa chay,Mắm thái chay,Củ hủ dừa,,,,,,,,,,,,,,,,,,,,,,,,,,,
12840,Canh dưa chua gân bò,Canh dưa chua gân bò,Dưa chua,Bò gân,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12841,Canh mồng tơi,Canh mồng tơi thịt xay,Mồng tơi,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12842,Canh rau dền,Canh rau dền thịt xay,Rau dền,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12843,Bầu kho nấm,Bầu kho nấm đùi gà,Bầu,Nấm đùi gà,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12844,Cá cơm kho chay,Cá cơm kho chay,Cá cơm chay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12845,Canh đậu hũ kim chi,Canh đậu hũ kim chi,Mướp,Kim chi,Đậu hũ trắng,,,,,,,,,,,,,,,,,,,,,,,,,,,
12846,Cà tím um xì dầu,Cà tím um xì dầu,Cà tím,Chả lụa chay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12847,Bông cải xào thập cẩm,Bông cải xào thập cẩm,Đậu hũ chiên,Nấm đùi gà,Măng tươi,Su hào,,,,,,,,,,,,,,,,,,,,,,,,,,
12848,Cá cơm chay,Cá cơm chay,Cá cơm chay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12849,Bí xanh kho tiêu,Bí xanh kho tiêu,Bí xanh,Chả lụa chay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12850,Cà tím sốt nấm,Cà tím sốt nấm,Cà tím,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12851,Bò viên chay xào sả ớt,Bò viên chay xào sả ớt,Bò viên chay,Hành tây,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12852,Cà ri chay,Cà ri nấm đông cô chay,Nấm đông cô,Đậu hũ chiên,Khoai tây,,,,,,,,,,,,,,,,,,,,,,,,,,,
12853,Cà ri chay,Cà ri nấm bào ngư chay,Nấm bào ngư xám,Đậu hũ chiên,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,,
12854,Bún riêu chay,Bún riêu nấm chay,Bún nhỏ,Đậu hũ chiên,Nấm kim châm,Tàu hũ ki tươi,,,,,,,,,,,,,,,,,,,,,,,,,,
12855,Bún riêu chay,Bún riêu đậu chay,Bún nhỏ,Đậu hũ chiên,Đậu bắp,Tàu hũ ki tươi,,,,,,,,,,,,,,,,,,,,,,,,,,
12856,Bún riêu chay,Bún riêu chả chay,Bún nhỏ,Đậu hũ chiên,Chả lụa chay,Tàu hũ ki tươi,Nấm đông cô,Cà chua,Váng đậu,,,,,,,,,,,,,,,,,,,,,,,
12857,Canh lá giang,Canh lá giang,Lá giang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12858,Bông cải kho bắp non,Bông cải kho bắp non,Bông cải trắng,Cà rốt,Đậu ve,Bắp non,,,,,,,,,,,,,,,,,,,,,,,,,,
12859,Canh khoai mỡ,Canh khoai mỡ,Khoai mỡ,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12860,Cà tím kho tiêu,Cà tím kho tiêu,Cà tím,Chả lụa chay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12861,Canh khổ qua dồn thịt,Canh khổ qua dồn thịt,Khổ qua,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12862,Canh khổ qua thịt bằm,Canh khổ qua thịt bằm,Khổ qua,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12863,Canh khổ qua thịt bằm,Canh khổ qua cải thảo thịt bằm,Khổ qua,Cải thảo,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,
12864,Canh kim chi đậu hũ,Canh kim chi đậu hũ,Đậu hũ trắng,Kim chi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12865,Canh rau má,Canh rau má,Rau má,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12866,Bún gạo xào,Bún gạo xào,Bún gạo,Đậu hũ chiên,Cải ngọt,,,,,,,,,,,,,,,,,,,,,,,,,,,
12867,Bún nước tương chay,Bún nước đậu chả chay,Bún nhỏ,Đậu hũ chiên,Chả giò xốp tôm thịt,,,,,,,,,,,,,,,,,,,,,,,,,,,
12868,Bún nước tương chay,Bún tương chả xốp tôm thịt chay,Bún nhỏ,Chả giò xốp tôm thịt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12869,Bún nước tương chay,Bún tương nấm chả chay,Bún nhỏ,Chả giò xốp chay,Nấm đùi gà,,,,,,,,,,,,,,,,,,,,,,,,,,,
12870,Bún nước tương chay,Bún tương nấm đậu chay,Bún nhỏ,Đậu hũ chiên,Nấm đùi gà,,,,,,,,,,,,,,,,,,,,,,,,,,,
12871,Bún nước tương chay,Bún tương đậu chả xốp chay,Bún nhỏ,Đậu hũ chiên,Chả giò xốp chay,,,,,,,,,,,,,,,,,,,,,,,,,,,
